,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,New Norfolk,AU,-42.7826,147.0587,62.91,51,55,1.99,broken clouds
80,Karlovo,BG,42.6333,24.8,43.12,90,83,2.06,broken clouds
81,Matara,LK,5.9485,80.5353,72.09,90,6,4.9,clear sky
82,Tuatapere,NZ,-46.1333,167.6833,64.42,80,100,3.38,overcast clouds
83,Rio Grande,BR,-32.035,-52.0986,69.53,73,0,9.55,clear sky
84,Port Alfred,ZA,-33.5906,26.891,64.18,91,100,1.99,light rain
85,Provideniya,RU,64.3833,-173.3,1.8,94,100,7.43,overcast clouds
86,Kodiak,US,57.79,-152.4072,33.31,100,100,3.44,light rain
87,Nouadhibou,MR,20.931,-17.0347,68.72,48,78,14.14,broken clouds
88,Camacha,PT,33.0833,-16.3333,56.62,72,20,4.61,few clouds
89,Mandalgovi,MN,45.7625,106.2708,6.53,74,100,8.08,overcast clouds
90,Majene,ID,-3.5403,118.9707,77.61,84,100,5.08,overcast clouds
91,Pantelho,MX,16.9333,-92.55,58.05,98,10,0.45,light rain
92,Samarai,PG,-10.6167,150.6667,83.61,73,100,7.16,overcast clouds
93,Carutapera,BR,-1.195,-46.02,77.72,85,98,7.18,overcast clouds
94,Komsomolskiy,UZ,40.4272,71.7189,30.92,93,5,6.91,mist
95,Chokurdakh,RU,70.6333,147.9167,-48.48,100,65,0.92,broken clouds
96,Cape Town,ZA,-33.9258,18.4232,62.11,73,81,13.0,broken clouds
97,Udachnyy,RU,66.4167,112.4,-35.55,65,98,1.48,overcast clouds
98,Orocue,CO,4.7912,-71.3354,81.7,56,79,7.81,broken clouds
99,Balabac,PH,7.9868,117.0645,79.27,85,100,11.43,overcast clouds
100,Thompson,CA,55.7435,-97.8558,14.72,96,100,5.7,overcast clouds
101,Barrow,US,71.2906,-156.7887,3.22,92,100,17.27,light snow
102,Asau,RO,46.4333,26.4,33.28,81,54,7.54,broken clouds
103,Laguna,US,38.421,-121.4238,63.18,67,20,33.38,few clouds
104,Maningrida,AU,-12.0667,134.2667,85.98,67,100,15.43,overcast clouds
105,Havelock,US,34.8791,-76.9013,64.94,89,0,8.05,clear sky
106,Torquay,GB,50.4638,-3.5143,52.86,96,100,7.0,overcast clouds
107,Ponta Do Sol,PT,32.6667,-17.1,62.71,78,3,3.98,clear sky
108,Bang Saphan,TH,11.2126,99.5117,76.14,70,100,8.43,overcast clouds
109,Pisco,PE,-13.7,-76.2167,69.85,88,0,3.44,clear sky
110,San Cristobal,VE,7.7669,-72.225,68.18,97,84,1.74,broken clouds
111,Makakilo City,US,21.3469,-158.0858,75.52,84,100,6.91,light rain
112,Ouadda,CF,8.0777,22.4007,68.22,40,16,6.55,few clouds
113,Hambantota,LK,6.1241,81.1185,74.28,82,93,13.06,overcast clouds
114,Castro,BR,-24.7911,-50.0119,55.27,96,100,6.38,overcast clouds
115,Omboue,GA,-1.5746,9.2618,76.5,87,100,6.11,light rain
116,Kulhudhuffushi,MV,6.6221,73.07,78.82,68,0,5.1,clear sky
117,Mareeba,AU,-17.0,145.4333,80.47,90,100,5.64,overcast clouds
118,Avera,US,33.194,-82.5271,62.11,95,0,6.26,clear sky
119,Talaya,RU,61.3833,152.75,-36.06,99,58,0.43,broken clouds
120,Coruripe,BR,-10.1256,-36.1756,77.13,83,41,10.85,scattered clouds
121,Coari,BR,-4.085,-63.1414,74.53,96,100,2.86,overcast clouds
122,Anloga,GH,5.7947,0.8973,78.8,77,100,7.49,overcast clouds
123,College,US,64.8569,-147.8028,0.07,82,75,0.0,broken clouds
124,Geraldton,AU,-28.7667,114.6,95.41,14,3,24.16,clear sky
125,Iranshahr,IR,27.2025,60.6848,55.24,25,23,3.0,few clouds
126,Mar Del Plata,AR,-38.0023,-57.5575,72.95,40,0,10.36,clear sky
127,Cairns,AU,-16.9167,145.7667,85.1,83,100,5.75,overcast clouds
128,Oktyabrskoye,RU,43.0645,44.7417,35.74,100,100,2.24,fog
129,Aromashevo,RU,56.8602,68.6375,-0.76,96,100,4.56,overcast clouds
130,Marsh Harbour,BS,26.5412,-77.0636,75.72,80,100,8.34,overcast clouds
131,Bilma,NE,18.6853,12.9164,57.67,33,13,7.38,few clouds
132,Ixtapa,MX,20.7,-105.2,74.43,78,0,5.75,clear sky
133,Richards Bay,ZA,-28.783,32.0377,72.72,93,99,14.09,light rain
134,Jamestown,US,42.097,-79.2353,57.02,70,100,7.0,overcast clouds
135,North Platte,US,41.1239,-100.7654,24.39,84,0,8.05,clear sky
136,Yarkovo,RU,57.4028,67.0786,-2.34,98,100,3.38,overcast clouds
137,Vardo,NO,70.3705,31.1107,30.18,74,100,6.91,overcast clouds
138,Gat,IL,31.61,34.7642,56.39,78,18,4.09,few clouds
139,Buala,SB,-8.145,159.5921,82.02,84,100,11.16,moderate rain
140,Kaitangata,NZ,-46.2817,169.8464,66.42,72,100,4.79,light rain
141,Novikovo,RU,51.1537,37.8879,31.75,75,100,9.69,overcast clouds
142,Qaanaaq,GL,77.484,-69.3632,-18.69,85,100,5.73,overcast clouds
143,Miranda,CO,3.2499,-76.2281,69.93,86,100,3.53,overcast clouds
144,Hilo,US,19.7297,-155.09,78.53,83,100,8.05,light rain
145,Hofn,IS,64.2539,-15.2082,33.44,81,92,7.47,overcast clouds
146,Smirnykh,RU,49.75,142.8333,7.66,83,100,7.78,overcast clouds
147,Pangody,RU,65.85,74.4859,-3.91,97,100,16.42,overcast clouds
148,Cheremshan,RU,54.6667,51.5,-11.6,100,41,3.06,scattered clouds
149,Bandarbeyla,SO,9.4942,50.8122,74.68,77,100,14.47,overcast clouds
150,Bubaque,GW,11.2833,-15.8333,78.58,75,100,6.04,overcast clouds
